	Unnamed: 0	text	target
0	0	Взять кредит тюмень альфа банк	0
1	1	Мнение о кредитной карте втб 24	0
2	2	«Райффайзенбанк»: Снижение ключевой ставки ЦБ на заседании в эту пятницу очень маловероятно	0
3	3	Современное состояние кредитного поведения в россии сбербанк	0
4	4	Главное чтоб банки СБЕР и ВТБ!!!	1
5	5	Оформить краткосрочный кредит оао банк москвы	0
6	6	Самый выгодный автокредит в втб 24	1
7	7	Кредит иногородним в москве сбербанк	0
8	8	Кредитный калькулятор россельхозбанк чита	0
9	9	Легко можно получить денежный кредит ы втб 24 банке	1
10	10	"ДЕЛО - На 1 млрд грн ушел в минус Райффайзен Банк Аваль и была докапитализирована украинская ""дочка"" ВТБ"	0
11	11	Део нексия в кредит в альфа банке	0
12	12	Россельхозбанк кредит стань фермером	0
13	13	Банк втб взять кредит 40000	0
14	14	обязательно про сбербанк напишите! Временами похлеще интернет магазинов финты выкручивает)	-1
15	15	Расчитать кредит сбер банк россии в москве	0
16	16	Кредит в газпром банке тула	0
17	17	Кредитный калькулятор сбербанк россии	0
18	18	втб и сбер точно. вопрос-блокировка операций или запрет на кредиты?	-1
19	19	Взять кредит строительство магазина россельхозбанк	0
20	20	Льготный период по кредитной карте втб 24	0
21	21	Казань банк втб 24 хочу взять кредит мне 20 лет	0
22	22	Как взять кредит на развитие хозяйства россельхозбанк	0
23	23	Оао банк втб северо запад в спб автокредит	0
24	24	Оформить заявку на кредит в банк уралсиб	0
25	25	Взять кредит в газпромбанке какие условия	0
26	26	Канада ввела санкции против Газпромбанка, ВЭБа, Новатэка и российских оборонных компаний	-1
27	27	Как взять денежный кредит в альфа банке	0
28	28	Заявление на потребительский кредит в райффайзенбанк	0
29	29	Сбербанк кредит как получить	0
30	30	Западно уральский сбербанк россии акция ипотечный кредит	0
31	31	Банк втб 24 казань потребительский кредит	0
32	32	Взять кредит сбербанк россии казань	0
33	33	Как оформить кредитную карту уралсиб банка в рб	0
34	34	Взять кредит сбербанк онлайн	0
35	35	Целевой кредит в россельхозбанке с поручителем	0
36	36	170 лет сбербанк акции автокредит екатеринбург	0
37	37	руководство по программе сбербанк бизнес бизнес руководство	0
38	38	Банк москвы даёт кредиты	0
39	39	Альфа банк взять кредит наличными	0
40	40	Снижение процентной ставки по кредиту на недвижимость сбербанк	1
41	41	Кредиты в россельхозбанке без посредников	0
42	42	RT Если Сбер и ВТБ попали под санкции, будет жопа	-1
43	43	Втб 24 зао взять кредит н новгороде кредиты	0
44	44	Райффайзенбанк уфа кредит на снегоход полярис	0
45	45	Взять кредит на технику в альфа банке	0
46	46	В наш сбербанк пришел американец и попросил сфоткаться с ним у банкомата ;D я ваще была в шоке и на фотке полюбому получилась смешная xD	1
47	47	Втб 24 банк взять кредит без справки о доходах	0
48	48	Отсрочка платежа по кредиту россельхозбанк	0
49	49	Заявление анкета на ипотечный кредит втб 24	0
50	50	"RT Канада ввела санкции против 10 оборонных и сырьевых компаний и банков РФ. Среди них, в частности, Газпромбанк"", Внешэк…"	-1
51	51	За первое полугодие 2014 года Сбербанк России выдал ипотечных кредитов на сумму более 402 млрд. рублей, что на 70% больше аналогичного пока	1
52	52	Условия частично досрочного погашения кредита в райффайзенбанке	0
53	53	Расчет кредита наличными сбербанк	0
54	54	Сравнить кредитные ставки в сбербанке газпромбанке ираффайзенбанке	0
55	55	Бпс сбербанк депозиты кредиты	0
56	56	Пенза сбербанк жилищный кредит	0
57	57	Пресс-релиз банка: Сбербанк и «Трест Уралавтострой» заключили соглашение о сотрудничестве	1
58	58	Документы для потребительского кредита в райффайзенбанке	0
59	59	Высчитывать проценты по кредиту сбербанк	0
